adventure-works\ken0,Chief Executive Officer,2009-01-14
adventure-works\terri0,Vice President of Engineering,2008-01-31
adventure-works\roberto0,Engineering Manager,2007-11-11
adventure-works\rob0,Senior Tool Designer,2007-12-05
adventure-works\gail0,Design Engineer,2008-01-06
adventure-works\jossef0,Design Engineer,2008-01-24
adventure-works\dylan0,Research and Development Manager,2009-02-08
adventure-works\diane1,Research and Development Engineer,2008-12-29
adventure-works\gigi0,Research and Development Engineer,2009-01-16
adventure-works\michael6,Research and Development Manager,2009-05-03
adventure-works\ovidiu0,Senior Tool Designer,2010-12-05
adventure-works\thierry0,Tool Designer,2007-12-11
adventure-works\janice0,Tool Designer,2010-12-23
adventure-works\michael8,Senior Design Engineer,2010-12-30
adventure-works\sharon0,Design Engineer,2011-01-18
adventure-works\david0,Marketing Manager,2007-12-20
adventure-works\kevin0,Marketing Assistant,2007-01-26
adventure-works\john5,Marketing Specialist,2011-02-07
adventure-works\mary2,Marketing Assistant,2011-02-14
adventure-works\wanida0,Marketing Assistant,2011-01-07
adventure-works\terry0,Marketing Specialist,2009-03-02
adventure-works\sariya0,Marketing Specialist,2008-12-12
adventure-works\mary0,Marketing Specialist,2009-01-12
adventure-works\jill0,Marketing Specialist,2009-01-18
adventure-works\james1,Vice President of Production,2009-02-03
adventure-works\peter0,Production Control Manager,2008-12-01
adventure-works\jo0,Production Supervisor - WC60,2008-02-27
adventure-works\guy1,Production Technician - WC60,2006-06-30
adventure-works\mark1,Production Technician - WC60,2009-01-23
adventure-works\britta0,Production Technician - WC60,2009-01-29
adventure-works\margie0,Production Technician - WC60,2009-01-04
adventure-works\rebecca0,Production Technician - WC60,2008-12-29
adventure-works\annik0,Production Technician - WC60,2008-12-17
adventure-works\suchitra0,Production Technician - WC60,2009-02-16
adventure-works\brandon0,Production Technician - WC60,2009-02-08
adventure-works\jose0,Production Technician - WC60,2009-02-10
adventure-works\chris2,Production Technician - WC60,2009-03-07
adventure-works\kim1,Production Technician - WC60,2010-01-16
adventure-works\ed0,Production Technician - WC60,2010-02-05
adventure-works\jolynn0,Production Supervisor - WC60,2007-12-26
adventure-works\bryan0,Production Technician - WC60,2009-01-21
adventure-works\james0,Production Technician - WC60,2008-12-27
adventure-works\nancy0,Production Technician - WC60,2009-01-02
adventure-works\simon0,Production Technician - WC60,2008-12-08
adventure-works\thomas0,Production Technician - WC60,2009-02-26
adventure-works\eugene1,Production Technician - WC60,2009-02-08
adventure-works\andrew0,Production Supervisor - WC10,2009-02-22
adventure-works\ruth0,Production Technician - WC10,2008-01-06
adventure-works\barry0,Production Technician - WC10,2008-01-07
adventure-works\sidney0,Production Technician - WC10,2008-02-02
adventure-works\jeffrey0,Production Technician - WC10,2008-02-20
adventure-works\doris0,Production Technician - WC10,2008-03-10
adventure-works\diane0,Production Technician - WC10,2008-03-28
adventure-works\bonnie0,Production Technician - WC10,2010-01-01
adventure-works\taylor0,Production Supervisor - WC50,2008-02-08
adventure-works\denise0,Production Technician - WC50,2009-02-05
adventure-works\frank1,Production Technician - WC50,2009-02-23
adventure-works\kendall0,Production Technician - WC50,2008-12-05
adventure-works\bob0,Production Technician - WC50,2008-12-24
adventure-works\pete0,Production Technician - WC50,2009-01-11
adventure-works\diane2,Production Technician - WC50,2009-01-18
adventure-works\john0,Production Supervisor - WC60,2008-03-17
adventure-works\maciej0,Production Technician - WC60,2010-01-29
adventure-works\michael7,Production Technician - WC60,2010-02-23
adventure-works\randy0,Production Technician - WC60,2010-02-23
adventure-works\karan0,Production Technician - WC60,2009-12-22
adventure-works\jay0,Production Technician - WC60,2009-03-05
adventure-works\charles0,Production Technician - WC60,2009-12-03
adventure-works\steve0,Production Technician - WC60,2009-02-15
adventure-works\david2,Production Technician - WC60,2008-12-15
adventure-works\michael3,Production Supervisor - WC30,2009-02-15
adventure-works\steven0,Production Technician - WC30,2008-12-01
adventure-works\carole0,Production Technician - WC30,2008-12-19
adventure-works\bjorn0,Production Technician - WC30,2009-01-07
adventure-works\michiko0,Production Technician - WC30,2009-01-26
adventure-works\carol0,Production Technician - WC30,2009-02-12
adventure-works\merav0,Production Technician - WC30,2009-03-03
adventure-works\reuben0,Production Supervisor - WC40,2008-12-15
adventure-works\eric1,Production Technician - WC40,2010-01-24
adventure-works\sandeep0,Production Technician - WC40,2010-01-17
adventure-works\mihail0,Production Technician - WC40,2009-12-29
adventure-works\jack1,Production Technician - WC40,2010-03-03
adventure-works\patrick1,Production Technician - WC40,2010-02-12
adventure-works\frank3,Production Technician - WC40,2010-02-05
adventure-works\brian2,Production Technician - WC40,2009-12-11
adventure-works\ryan0,Production Technician - WC40,2009-01-05
adventure-works\cristian0,Production Supervisor - WC10,2008-12-22
adventure-works\betsy0,Production Technician - WC10,2009-12-18
adventure-works\patrick0,Production Technician - WC10,2010-02-01
adventure-works\danielle0,Production Technician - WC10,2010-02-20
adventure-works\kimberly0,Production Technician - WC10,2010-01-12
adventure-works\tom0,Production Technician - WC10,2010-03-10
adventure-works\kok-ho0,Production Supervisor - WC50,2008-12-27
adventure-works\russell0,Production Technician - WC50,2008-12-12
adventure-works\jim0,Production Technician - WC50,2008-12-19
adventure-works\elizabeth0,Production Technician - WC50,2009-03-02
adventure-works\mandar0,Production Technician - WC50,2009-02-10
adventure-works\sameer0,Production Technician - WC50,2009-02-11
adventure-works\nuan0,Production Technician - WC50,2009-01-06
adventure-works\lolan0,Production Technician - WC50,2009-01-12
adventure-works\houman0,Production Technician - WC50,2009-01-25
adventure-works\zheng0,Production Supervisor - WC10,2008-12-03
adventure-works\ebru0,Production Technician - WC10,2009-12-06
adventure-works\mary1,Production Technician - WC10,2009-12-25
adventure-works\kevin2,Production Technician - WC10,2009-12-25
adventure-works\john4,Production Technician - WC10,2010-02-27
adventure-works\christopher0,Production Technician - WC10,2010-02-08
adventure-works\jinghao0,Production Supervisor - WC50,2008-12-08
adventure-works\alice0,Production Technician - WC50,2008-12-07
adventure-works\jun0,Production Technician - WC50,2008-12-14
adventure-works\suroor0,Production Technician - WC50,2008-12-17
adventure-works\john1,Production Technician - WC50,2009-01-01
adventure-works\linda0,Production Technician - WC50,2008-12-25
adventure-works\mindaugas0,Production Technician - WC50,2009-01-13
adventure-works\angela0,Production Technician - WC50,2009-01-20
adventure-works\michael2,Production Technician - WC50,2009-01-31
adventure-works\chad0,Production Technician - WC50,2009-02-18
adventure-works\don0,Production Technician - WC50,2009-02-13
adventure-works\michael4,Production Technician - WC50,2009-02-25
adventure-works\kitti0,Production Technician - WC50,2009-03-04
adventure-works\pilar0,Shipping and Receiving Supervisor,2009-01-02
adventure-works\susan0,Stocker,2008-12-07
adventure-works\vamsi0,Shipping and Receiving Clerk,2008-12-07
adventure-works\kim0,Stocker,2008-12-26
adventure-works\matthias0,Shipping and Receiving Clerk,2009-01-20
adventure-works\jimmy0,Stocker,2009-02-26
adventure-works\david4,Production Supervisor - WC40,2009-01-03
adventure-works\paul0,Production Technician - WC40,2008-12-04
adventure-works\gary0,Production Technician - WC40,2008-12-22
adventure-works\rob1,Production Technician - WC40,2009-02-13
adventure-works\baris0,Production Technician - WC40,2009-02-15
adventure-works\nicole0,Production Technician - WC40,2009-02-22
adventure-works\michael1,Production Technician - WC40,2009-01-10
adventure-works\eric0,Production Supervisor - WC20,2009-01-14
adventure-works\ivo0,Production Technician - WC20,2008-12-04
adventure-works\sylvester0,Production Technician - WC20,2009-12-11
adventure-works\anibal0,Production Technician - WC20,2009-02-23
adventure-works\samantha0,Production Technician - WC20,2009-02-04
adventure-works\hung-fu0,Production Technician - WC20,2010-01-06
adventure-works\prasanna0,Production Technician - WC20,2010-01-22
adventure-works\min0,Production Technician - WC20,2010-01-24
adventure-works\olinda0,Production Technician - WC20,2010-03-04
adventure-works\krishna0,Production Technician - WC20,2010-02-13
adventure-works\paul1,Production Technician - WC20,2009-01-17
adventure-works\cynthia0,Production Supervisor - WC30,2009-01-27
adventure-works\jianshuo0,Production Technician - WC30,2008-12-07
adventure-works\sandra0,Production Technician - WC30,2008-12-26
adventure-works\jason0,Production Technician - WC30,2009-01-14
adventure-works\andy0,Production Technician - WC30,2009-01-31
adventure-works\michael5,Production Technician - WC30,2009-02-26
adventure-works\rostislav0,Production Technician - WC30,2009-02-19
adventure-works\yuhong0,Production Supervisor - WC20,2009-02-01
adventure-works\hanying0,Production Technician - WC20,2008-12-16
adventure-works\raymond0,Production Technician - WC20,2008-12-23
adventure-works\fadi0,Production Technician - WC20,2009-01-04
adventure-works\lane0,Production Technician - WC20,2009-01-11
adventure-works\linda1,Production Technician - WC20,2009-02-03
adventure-works\shelley0,Production Technician - WC20,2009-03-07
adventure-works\terrence0,Production Technician - WC20,2009-02-16
adventure-works\jeff0,Production Supervisor - WC45,2009-01-21
adventure-works\kirk0,Production Technician - WC45,2008-12-15
adventure-works\laura0,Production Technician - WC45,2009-01-03
adventure-works\alex0,Production Technician - WC45,2009-02-08
adventure-works\andrew1,Production Technician - WC45,2009-03-06
adventure-works\chris0,Production Technician - WC45,2009-01-22
adventure-works\jack0,Production Supervisor - WC30,2009-02-21
adventure-works\david1,Production Technician - WC30,2008-12-02
adventure-works\garrett0,Production Technician - WC30,2008-12-07
adventure-works\susan1,Production Technician - WC30,2008-12-14
adventure-works\george0,Production Technician - WC30,2008-12-21
adventure-works\david3,Production Technician - WC30,2009-01-02
adventure-works\marc0,Production Technician - WC30,2009-01-16
adventure-works\eugene0,Production Technician - WC30,2009-01-21
adventure-works\benjamin0,Production Technician - WC30,2009-01-27
adventure-works\reed0,Production Technician - WC30,2009-02-02
adventure-works\david7,Production Technician - WC30,2009-02-14
adventure-works\russell1,Production Technician - WC30,2009-02-21
adventure-works\john3,Production Technician - WC30,2009-03-03
adventure-works\jan0,Production Technician - WC30,2009-03-05
adventure-works\katie0,Production Supervisor - WC20,2009-02-20
adventure-works\michael0,Production Technician - WC20,2008-12-09
adventure-works\nitin0,Production Technician - WC20,2008-12-28
adventure-works\barbara0,Production Technician - WC20,2009-01-22
adventure-works\john2,Production Technician - WC20,2009-02-09
adventure-works\stefen0,Production Technician - WC20,2009-02-28
adventure-works\shane0,Production Supervisor - WC45,2009-02-08
adventure-works\yvonne0,Production Technician - WC45,2008-12-09
adventure-works\douglas0,Production Technician - WC45,2008-12-27
adventure-works\janeth0,Production Technician - WC45,2009-01-15
adventure-works\robert0,Production Technician - WC45,2009-02-02
adventure-works\lionel0,Production Technician - WC45,2009-02-26
adventure-works\brenda0,Production Supervisor - WC40,2009-03-05
adventure-works\alejandro0,Production Technician - WC40,2008-12-06
adventure-works\fred0,Production Technician - WC40,2008-12-12
adventure-works\kevin1,Production Technician - WC40,2008-12-17
adventure-works\shammi0,Production Technician - WC40,2008-12-24
adventure-works\rajesh0,Production Technician - WC40,2008-12-31
adventure-works\lorraine0,Production Technician - WC40,2009-01-04
adventure-works\paula1,Production Technician - WC40,2009-01-12
adventure-works\frank0,Production Technician - WC40,2009-01-17
adventure-works\brian0,Production Technician - WC40,2009-01-29
adventure-works\tawana0,Production Technician - WC40,2009-02-05
adventure-works\ken1,Production Technician - WC40,2009-02-24
adventure-works\gabe0,Production Technician - WC40,2009-03-08
adventure-works\lori0,Production Supervisor - WC45,2009-02-26
adventure-works\stuart0,Production Technician - WC45,2008-12-02
adventure-works\greg0,Production Technician - WC45,2008-12-02
adventure-works\scott0,Production Technician - WC45,2009-01-08
adventure-works\kathie0,Production Technician - WC45,2009-01-27
adventure-works\belinda0,Production Technician - WC45,2009-02-20
adventure-works\hazem0,Quality Assurance Manager,2009-02-28
adventure-works\peng0,Quality Assurance Supervisor,2008-12-09
adventure-works\sootha0,Quality Assurance Technician,2010-02-23
adventure-works\andreas0,Quality Assurance Technician,2009-02-02
adventure-works\mark0,Quality Assurance Technician,2009-01-15
adventure-works\sean0,Quality Assurance Technician,2008-12-28
adventure-works\zainal0,Document Control Manager,2009-01-04
adventure-works\tengiz0,Control Specialist,2008-12-16
adventure-works\sean1,Document Control Assistant,2009-01-22
adventure-works\karen0,Document Control Assistant,2009-02-09
adventure-works\chris1,Control Specialist,2009-03-06
adventure-works\ascott0,Master Scheduler,2008-12-12
adventure-works\sairaj0,Scheduling Assistant,2009-01-26
adventure-works\william0,Scheduling Assistant,2009-01-07
adventure-works\alan0,Scheduling Assistant,2009-02-13
adventure-works\brian1,Scheduling Assistant,2009-03-03
adventure-works\gary1,Facilities Manager,2009-12-02
adventure-works\christian0,Maintenance Supervisor,2008-12-14
adventure-works\lori1,Janitor,2010-02-16
adventure-works\stuart1,Janitor,2010-03-05
adventure-works\jo1,Janitor,2010-03-07
adventure-works\pat0,Janitor,2010-01-27
adventure-works\magnus0,Facilities Administrative Assistant,2009-12-21
adventure-works\laura1,Chief Financial Officer,2009-01-31
adventure-works\paula0,Human Resources Manager,2008-12-06
adventure-works\grant0,Human Resources Administrative Assistant,2009-02-25
adventure-works\hao0,Human Resources Administrative Assistant,2009-02-06
adventure-works\vidur0,Recruiter,2009-01-01
adventure-works\mindy0,Benefits Specialist,2008-12-25
adventure-works\willis0,Recruiter,2008-12-13
adventure-works\david6,Accounts Manager,2009-01-30
adventure-works\deborah0,Accounts Receivable Specialist,2008-12-18
adventure-works\candy0,Accounts Receivable Specialist,2009-01-06
adventure-works\bryan1,Accounts Receivable Specialist,2009-01-24
adventure-works\barbara1,Accountant,2009-02-18
adventure-works\dragan0,Accounts Payable Specialist,2009-02-11
adventure-works\janet0,Accounts Payable Specialist,2009-03-01
adventure-works\mike0,Accountant,2009-03-08
adventure-works\wendy0,Finance Manager,2008-12-25
adventure-works\sheela0,Purchasing Manager,2011-02-25
adventure-works\mikael0,Buyer,2009-02-10
adventure-works\arvind0,Buyer,2009-02-28
adventure-works\linda2,Buyer,2009-12-17
adventure-works\fukiko0,Buyer,2010-01-04
adventure-works\gordon0,Buyer,2010-01-11
adventure-works\frank2,Buyer,2010-01-23
adventure-works\eric2,Buyer,2010-01-27
adventure-works\erin0,Buyer,2010-01-31
adventure-works\ben0,Buyer,2010-03-09
adventure-works\annette0,Purchasing Assistant,2010-12-06
adventure-works\reinout0,Purchasing Assistant,2010-12-25
adventure-works\david5,Assistant to the Chief Financial Officer,2009-01-12
adventure-works\jean0,Information Services Manager,2008-12-11
adventure-works\stephanie0,Network Manager,2009-02-04
adventure-works\ashvini0,Network Administrator,2008-12-04
adventure-works\peter1,Network Administrator,2009-02-23
adventure-works\karen1,Application Specialist,2009-02-16
adventure-works\ramesh0,Application Specialist,2009-02-03
adventure-works\dan0,Application Specialist,2009-01-11
adventure-works\françois0,Database Administrator,2009-01-17
adventure-works\dan1,Database Administrator,2009-01-22
adventure-works\janaina0,Application Specialist,2008-12-23
adventure-works\brian3,Vice President of Sales,2011-02-15
adventure-works\stephen0,North American Sales Manager,2011-01-04
adventure-works\michael9,Sales Representative,2011-05-31
adventure-works\linda3,Sales Representative,2011-05-31
adventure-works\jillian0,Sales Representative,2011-05-31
adventure-works\garrett1,Sales Representative,2011-05-31
adventure-works\tsvi0,Sales Representative,2011-05-31
adventure-works\pamela0,Sales Representative,2011-05-31
adventure-works\shu0,Sales Representative,2011-05-31
adventure-works\josé1,Sales Representative,2011-05-31
adventure-works\david8,Sales Representative,2011-05-31
adventure-works\tete0,Sales Representative,2012-09-30
adventure-works\syed0,Pacific Sales Manager,2013-03-14
adventure-works\lynn0,Sales Representative,2013-05-30
adventure-works\amy0,European Sales Manager,2012-04-16
adventure-works\rachel0,Sales Representative,2013-05-30
adventure-works\jae0,Sales Representative,2012-05-30
adventure-works\ranjit0,Sales Representative,2012-05-30
